PRIORIY_INSTRUCTION_KEY, MASK, MATCH_VALUE
NOP, 0xFF, 0x00
LD_A_BC_DE, 0xEF, 0xA
LD_BC_DE_A, 0xEF, 0x02
LD_R_HL, 0xC7, 0x46
LD_HL_R, 0xF8, 0x70
LD_HL_N, 0xFF, 0x36
LD_A_NN, 0xFF, 0xFA
LD_NN_A, 0xFF, 0xEA
LDH_A_N, 0xFF, 0xF0
LDH_N_A, 0xFF, 0xE0
LDH_A_C, 0xFF, 0xF2
LDH_C_A, 0xFF, 0xE2
LD_A_HL_DEC, 0xFF, 0x3A
LD_HL_DEC_A, 0xFF, 0x32
LD_A_HL_INC, 0xFF, 0x2A
LD_HL_INC_A, 0xFF, 0x22
LD_NN_SP, 0xFF, 0x08
LD_SP_HL, 0xFF, 0xF9
LD_RR_NN, 0xCF, 0x01
LD_R_R, 0xC0, 0x40
LD_R_N, 0XC7, 0x06
PUSH_RR, 0xCF, 0xC5
POP_RR, 0xCF, 0xC1
ADD_A_HL, 0xFF, 0x86
ADD_A_N, 0xFF, 0xC6
ADD_A_R, 0xF8, 0x80
ADC_A_HL, 0xFF, 0x8E
ADC_A_N, 0xFF, 0xCE
ADC_A_R, 0xF8, 0x88
SUB_A_HL, 0xFF, 0x96
SUB_A_N, 0xFF, 0xD6
SUB_A_R, 0xF8, 0x90
SBC_A_HL, 0xFF, 0x9E
SBC_A_N, 0xFF, 0xDE
SBC_A_R, 0xF8, 0x98
CP_A_HL, 0xFF, 0xBE
CP_A_N, 0xFF, 0xFE
CP_A_R, 0xF8, 0xB8
INC_HL, 0xFF, 0x34
INC_R, 0xC7, 0x04
DEC_HL, 0xFF, 0x35
DEC_R, 0xC7, 0x05
AND_A_HL, 0xFF, 0xA6
AND_A_N, 0xFF, 0xE6
AND_A_R, 0xF8, 0xA0
OR_A_HL, 0xFF, 0xB6
OR_A_N, 0xFF, 0xF6
OR_A_R, 0xF8, 0xB0
XOR_A_HL, 0xFF, 0xAE
XOR_A_N, 0xFF, 0xEE
XOR_A_R, 0xF8, 0xA8
CCF, 0xFF, 0x3F
SCF, 0xFF, 0x37
DAA, 0xFF, 0x27
CPL, 0xFF, 0x2F
JP_NN, 0xFF, 0xC3
JP_HL, 0xFF, 0xE9
JP_CC_NN, 0xE7, 0xC2
JR, 0xFF, 0x18
JR_CC, 0xE7, 0x20
